"Sample","Timestamp","Status","RttMs"
"1","2026-04-09T02:22:56.3788616+03:00","Success","22"
"2","2026-04-09T02:22:56.6528898+03:00","Success","21"
"3","2026-04-09T02:22:56.9307459+03:00","Success","28"
"4","2026-04-09T02:22:57.2117537+03:00","Success","21"
"5","2026-04-09T02:22:57.4922733+03:00","Success","21"
"6","2026-04-09T02:22:57.7705358+03:00","Success","21"
"7","2026-04-09T02:22:58.0514151+03:00","Success","21"
"8","2026-04-09T02:22:58.3309641+03:00","Success","21"
"9","2026-04-09T02:22:58.6106331+03:00","Success","21"
"10","2026-04-09T02:22:58.8900554+03:00","Success","21"
"11","2026-04-09T02:22:59.1692348+03:00","Success","23"
"12","2026-04-09T02:22:59.4496843+03:00","Success","21"
"13","2026-04-09T02:22:59.7302662+03:00","Success","29"
"14","2026-04-09T02:23:00.0254305+03:00","Success","31"
"15","2026-04-09T02:23:00.3206264+03:00","Success","21"
"16","2026-04-09T02:23:00.5985605+03:00","Success","21"
"17","2026-04-09T02:23:00.8790112+03:00","Success","21"
"18","2026-04-09T02:23:01.1549987+03:00","Success","21"
"19","2026-04-09T02:23:01.4310920+03:00","Success","25"
"20","2026-04-09T02:23:01.7111456+03:00","Success","21"
"21","2026-04-09T02:23:01.9893683+03:00","Success","21"
"22","2026-04-09T02:23:02.2710333+03:00","Success","22"
"23","2026-04-09T02:23:02.5524243+03:00","Success","21"
"24","2026-04-09T02:23:02.8319804+03:00","Success","21"
"25","2026-04-09T02:23:03.1116696+03:00","Success","21"
"26","2026-04-09T02:23:03.3923143+03:00","Success","21"
"27","2026-04-09T02:23:03.6689897+03:00","Success","21"
"28","2026-04-09T02:23:03.9502971+03:00","Success","21"
"29","2026-04-09T02:23:04.2319039+03:00","Success","21"
"30","2026-04-09T02:23:04.5149012+03:00","Success","21"
"31","2026-04-09T02:23:04.7933334+03:00","Success","21"
"32","2026-04-09T02:23:05.0720988+03:00","Success","22"
"33","2026-04-09T02:23:05.3490689+03:00","Success","21"
"34","2026-04-09T02:23:05.6272792+03:00","Success","21"
"35","2026-04-09T02:23:05.9063231+03:00","Success","21"
"36","2026-04-09T02:23:06.1848528+03:00","Success","21"
"37","2026-04-09T02:23:06.4584244+03:00","Success","22"
"38","2026-04-09T02:23:06.7384202+03:00","Success","21"
"39","2026-04-09T02:23:07.0153246+03:00","Success","21"
"40","2026-04-09T02:23:07.2948843+03:00","Success","21"
"41","2026-04-09T02:23:07.5747383+03:00","Success","21"
"42","2026-04-09T02:23:07.8534545+03:00","Success","21"
"43","2026-04-09T02:23:08.1337231+03:00","Success","21"
"44","2026-04-09T02:23:08.4113594+03:00","Success","21"
"45","2026-04-09T02:23:08.6935884+03:00","Success","21"
"46","2026-04-09T02:23:08.9693735+03:00","Success","23"
"47","2026-04-09T02:23:09.2480402+03:00","Success","34"
"48","2026-04-09T02:23:09.5439214+03:00","Success","21"
"49","2026-04-09T02:23:09.8251747+03:00","Success","30"
"50","2026-04-09T02:23:10.1151389+03:00","Success","21"
"51","2026-04-09T02:23:10.3967514+03:00","Success","21"
"52","2026-04-09T02:23:10.6758004+03:00","Success","21"
"53","2026-04-09T02:23:10.9547362+03:00","Success","21"
"54","2026-04-09T02:23:11.2307232+03:00","Success","26"
"55","2026-04-09T02:23:11.5083376+03:00","Success","21"
"56","2026-04-09T02:23:11.7857956+03:00","Success","21"
"57","2026-04-09T02:23:12.0676213+03:00","Success","21"
"58","2026-04-09T02:23:12.3436156+03:00","Success","21"
"59","2026-04-09T02:23:12.6247440+03:00","Success","21"
"60","2026-04-09T02:23:12.9050549+03:00","Success","21"
"61","2026-04-09T02:23:13.1846585+03:00","Success","21"
"62","2026-04-09T02:23:13.4617406+03:00","Success","30"
"63","2026-04-09T02:23:13.7551476+03:00","Success","37"
"64","2026-04-09T02:23:14.0516682+03:00","Success","21"
"65","2026-04-09T02:23:14.3332228+03:00","Success","23"
"66","2026-04-09T02:23:14.6119010+03:00","Success","21"
"67","2026-04-09T02:23:14.8905198+03:00","Success","21"
"68","2026-04-09T02:23:15.1680886+03:00","Success","21"
"69","2026-04-09T02:23:15.4474081+03:00","Success","21"
"70","2026-04-09T02:23:15.7259309+03:00","Success","21"
"71","2026-04-09T02:23:16.0050188+03:00","Success","24"
"72","2026-04-09T02:23:16.2862747+03:00","Success","22"
"73","2026-04-09T02:23:16.5669967+03:00","Success","26"
"74","2026-04-09T02:23:16.8492409+03:00","Success","21"
"75","2026-04-09T02:23:17.1264621+03:00","Success","21"
"76","2026-04-09T02:23:17.4050231+03:00","Success","22"
"77","2026-04-09T02:23:17.6874968+03:00","Success","21"
"78","2026-04-09T02:23:17.9655572+03:00","Success","21"
"79","2026-04-09T02:23:18.2473000+03:00","Success","21"
"80","2026-04-09T02:23:18.5239234+03:00","Success","21"
"81","2026-04-09T02:23:18.8006018+03:00","Success","21"
"82","2026-04-09T02:23:19.0800324+03:00","Success","21"
"83","2026-04-09T02:23:19.3537094+03:00","Success","21"
"84","2026-04-09T02:23:19.6303182+03:00","Success","21"
"85","2026-04-09T02:23:19.9072016+03:00","Success","22"
"86","2026-04-09T02:23:20.1885258+03:00","Success","21"
"87","2026-04-09T02:23:20.4680628+03:00","Success","22"
"88","2026-04-09T02:23:20.7481676+03:00","Success","21"
"89","2026-04-09T02:23:21.0275786+03:00","Success","25"
"90","2026-04-09T02:23:21.3075363+03:00","Success","21"
"91","2026-04-09T02:23:21.5864444+03:00","Success","21"
"92","2026-04-09T02:23:21.8654454+03:00","Success","21"
"93","2026-04-09T02:23:22.1465797+03:00","Success","21"
"94","2026-04-09T02:23:22.4260167+03:00","Success","26"
"95","2026-04-09T02:23:22.7146051+03:00","Success","21"
"96","2026-04-09T02:23:22.9912589+03:00","Success","21"
"97","2026-04-09T02:23:23.2725853+03:00","Success","21"
"98","2026-04-09T02:23:23.5480155+03:00","Success","21"
"99","2026-04-09T02:23:23.8254762+03:00","Success","21"
"100","2026-04-09T02:23:24.1035247+03:00","Success","21"
"101","2026-04-09T02:23:24.3805710+03:00","Success","21"
"102","2026-04-09T02:23:24.6618655+03:00","Success","21"
"103","2026-04-09T02:23:24.9423115+03:00","Success","21"
"104","2026-04-09T02:23:25.2203488+03:00","Success","21"
"105","2026-04-09T02:23:25.5002792+03:00","Success","21"
"106","2026-04-09T02:23:25.7772628+03:00","Success","21"
"107","2026-04-09T02:23:26.0535041+03:00","Success","21"
"108","2026-04-09T02:23:26.3308223+03:00","Success","21"
"109","2026-04-09T02:23:26.6092465+03:00","Success","21"
"110","2026-04-09T02:23:26.8902745+03:00","Success","21"
"111","2026-04-09T02:23:27.1698956+03:00","Success","21"
"112","2026-04-09T02:23:27.4491112+03:00","Success","21"
"113","2026-04-09T02:23:27.7248117+03:00","Success","21"
"114","2026-04-09T02:23:28.0039752+03:00","Success","21"
"115","2026-04-09T02:23:28.2824247+03:00","Success","21"
"116","2026-04-09T02:23:28.5633285+03:00","Success","22"
"117","2026-04-09T02:23:28.8404825+03:00","Success","21"
"118","2026-04-09T02:23:29.1173882+03:00","Success","21"
"119","2026-04-09T02:23:29.3958610+03:00","Success","23"
"120","2026-04-09T02:23:29.6723599+03:00","Success","21"
